in_charge,print_number,mvmd_remarks,district,usage,purpose,type,type_detail,make,maintainance,maintainance_remarks,maintainance_end_date,maintenance_mileage,vehicle_class,license,vehicle_model,chassis_number,engine_number,cylinder_capacity,color,body_type,gross_weight,registered_owner,owner_registration_date,manufacture_year,first_registration_date,rearview_mirror,後備匙,spare_key,car_loan,remarks,new_car,gratia_payment_scheme
Adam,,,大欖,各區,工程車,燈車,5.5噸燈車(孖屋),ISUZU,,N/A,,,S.P.V.,2,NPR75HJW-V,JAANPR75HG7102198,4HK1-472778,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-07-26,2016,2016-07-26,Y,Y,Y,,,,
Adam,W577,,大欖,各區,工程車,掃街車,"16噸掃街車
(真空吸咀式)",DONGFENG,,N/A,,,S.P.V.,18,DFL1160BYW3,LGAX2C140F1816069,78224680,6690,YELLOW,ROAD SWEEPER,16,偉金建築,2016-07-28,2015,2016-07-28,Y,Y,Y,,"23/3/2020-2020年3月汽車紀錄UF3602於03合約使用中
28/11/2019-收到曾廣輝通知,此車轉移使用地盤(03HY轉至05HY)-未簽交收紙
上裝SECO (譜詠)",,
Adam,W578,,大欖,各區,工程車,燈車,5.5噸燈車(孖屋),ISUZU,,N/A,,,S.P.V.,2,NPR75HJW-V,JAANPR75HG7102666,4HK1-489533,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-07-26,2016,2016-07-26,Y,Y,Y,,,,
Adam,,,北大,各區,工程車,燈車,5.5噸燈車(細水),FOTON,,N/A,,,S.P.V.,2,BJ1079VDJE6-FP,LVBV3JBB2GJ032764,ISF3.8S515489824463,3760,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-07-26,2016,2016-07-26,Y,Y,Y,,"18/11/2017- 安裝水機(由NN3178拆下維修完裝上UF4213)
16/3/2018-取回正本牌簿(日立)",,
Adam,W591,,大欖,各區,工程車,燈車,5.5噸燈車(細水),ISUZU,,N/A,,,S.P.V.,2,NPR75KH-V,JAANPR75KG7101025,4HK1-490514,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-07-18,2016,2016-07-18,Y,Y,-,,2/11/2021-陳建榮通知將UH8339水機(W355)搬至UF445使用,,
Adam,W594,,大欖,各區,工程車,夾車,8.5噸夾斗車,HINO,,N/A,,,Medium Goods Vehicle,18,300 Series XZU720R-HKFTT3,JHHYCT2H60K012637,N04CUT18798,4009,YELLOW,TIPPER,8.5,偉金建築,2016-08-04,2016,2016-08-04,Y,-,Y,,"8/10/2021-與03HY李錦傑及05HY2020良確認,UF7854已由05HY2020交回03HY使用(2021年9月開始扣03HY)
1/4/2021-03HY李錦傑通知NS3686由03HY暫借05HY2020使用(未收交收紙)",,
Adam,,,大欖,各區,工程車,掃街車,"16噸掃街車
(真空吸咀式)",VOLVO,,N/A,,,S.P.V.,18,FLH290 42R (WB5900),YV2TH60A0GZ105425,11840063,7146,YELLOW,ROAD SWEEPER,16,偉金建築,2016-08-18,2015,2016-08-18,Y,N,Y,,上裝SECO (譜詠),,
Adam,W575,,大欖,各區,工程車,農夫車,農夫車(燈車),ISUZU,,N/A,,,S.P.V.,2,TFR86JD-V,MPATFR86JGT003346,4JK1-PG9660,2499,YELLOW,TRAFFIC WARNING SIGN,2.9,偉金建築,2016-08-29,2016,2016-08-29,Y,N,Y,,,,
Adam,W577,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C138G1817334,78320606,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-09-21,2016,2016-09-21,,Y,Y,,,,
Adam,W572,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C134G1817332,78320613,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-09-21,2016,2016-09-21,,N,Y,,,,
