vehicle,autotoll_number,vehicle_effective_date,vehicle_end_date
JN1MC2E26Z0010075,,,
JN1MC2E26Z0010052,,,
JTDKD3B3501607978,CHTC10455722,,
WVWZZZAUZJW904154,CHTC10455724,,
WVWZZZAUZJW904107,CHTC10463646,,
JTDZZ9H370L000527,CHTC10344142,,
12048,,,
JTDKD3B3401560801,,,
JAANPR75HB7100960,CHTC00559057,,
JAAN1R75KC7100008,CHTC10463774,,
ZCFA1GD0002233595,CHTC10455819,,
JTFHT02P900055834,CHTC10470802,,
JTFHT02PX00055597,CHTC10455842,,
KMFWBX7KLCU504845,CHTC10455841,,
LGAX2C147H1817688,CHTC10455840,,
LJ11KCBD6H8023632,CHTC10454024,,
LJ11KCBE4K1112043,CHTC10455822,,
MMCJLKL60LH132478,CHTC10474606,,
MMCJLKL60LH133890,CHTC10391245,,
LGDCLA1G4NA103400,,,
LGDCLA1G4NA500430,,,
LGDCLA1G8NA500429,,,
LGDCLA1G8NA103397,,,
LGDCLA1G6NA500431,,,
LGDCLA1GXNA500433,,,
JHMRP1850LC200220,CHTC10455699,,
JHMRP1850LC200495,CHTC10455725,,
JHMRP1850LC200576,CHTC10455700,,
JHMRP1850LC200577,CHTC10455702,,
JHMRP1850LC200602,CHTC10455727,,
JHMRP1850LC200603,CHTC10455703,,
JHMRP1850LC200667,CHTC10455728,,
JHMRP1850LC200668,CHTC10455704,,
JHMRP1850LC200664,CHTC10455729,,
JHMRP1850LC200665,CHTC10455705,,
JHMRP1850LC200689,CHTC10455730,,
JHMRP1850LC200690,CHTC10455706,,
JHMRP1850LC200692,CHTC10455731,,
LHMRP1850LC200677,CHTC10455707,,
LHMRP1850LC200678,CHTC10455732,,
LHMRP1850LC200679,CHTC10455708,,
LHMRP1850LC200680,CHTC10455733,,
JHMRP3870LC201271,,,
JHMRP3870LC201299,CHTC10455826,,
JHMRP3870LC201303,CHTC10470798,,
JHMRP3870LC201304,,,
JHMRP3870LC201350,CHTC10455850,,
JHMRP3870LC201348,CHTC10455843,,
JHMRP3870LC201344,CHTC10463638,,
JHMRP3870LC201345,CHTC10455871,,
KPAY61EESMP146362,CHTC10387598,,
KPAY61EESMP157215,CHTC10387597,,
KPAY61EESMP157210,CHTC10455737,,
KPAY61EESMP157214,CHTC10467407,,
KPAY61EESMP157216,CHTC10387599,,
JTDBT42E209046876,CHTC10455735,,
JTDBT42E309100637,,,
JTDBT42E609105220,,,
MMCJLKL60LH133869,CHTC10390651,,
JTDBT40E109073683,,,
JTDBT42E309105711,,,
JTDBT42E409100792,CHTC10403086,,
KPAY61EESNP160060,CHTC10482113,,
KPAY61EESNP157209,CHTC10488428,,
JTDBT40E409062807,CHTC10455823,,
LGDCLB1L3MH133335,,,
LGDCLB1G3NH500447,,,
LGDCLB1G5NH500448,,,
LGDCLB1L1MH133527,,,
LGDCLB1L1MH132975,,,
LGDCLB1LXMH133526,,,
LJ11KCBE3L1121558,,,
LJ11KCBE1L1121557,,,
LJ11KCBE6N1108967,,,
LGDCLA1G9NA103411,,,
